Sale,Seller.OwnerID,Buyer.OwnerID,Cost,Day,Month,Year,,
Vehicle,VIN,Brand,Model,Engine,Transmission,Color,Year,
Owner,OwnerID,Name,Street_Number,Street_Name,City,State,Zip,
Dealer,OwnerID,,,,,,,
Dealer_Management_Program.Customer,OwnerID,Gender,Annual_Income,,,,,
Manufacturer,OwnerID,,,,,,,
Customer_Phone,OwnerID,Number,,,,,,
Dealer_Brand,OwnerID,Brand,,,,,,
Sale_Vehicle,SaleID,VIN,,,,,,
,,,,,,,,
Sale,SaleID,Seller.OwnerID,Buyer.OwnerID,Cost,Day,Month,Year,
,100,0,4,45675,10,8,2005,
,101,1,5,34323,7,1,2000,
,102,2,6,21343,3,4,1992,
,103,3,7,19347,6,6,1998,
,104,4,8,29564,5,8,1994,
,105,5,9,29875,9,10,2004,
,106,6,10,31456,25,11,1997,
,107,7,1,14535,1,5,2002,
,108,8,4,42676,30,6,1993,
,109,9,6,34567,14,1,2010,
,,,,,,,,
Sale_Vehicle,SaleID,VIN,Price,,,,,
,100,0,20100,,,,,
,101,1,20200,,,,,
,102,2,20300,,,,,
,103,3,20400,,,,,
,104,4,20500,,,,,
,105,5,20600,,,,,
,106,6,20700,,,,,
,107,7,20800,,,,,
,108,8,20900,,,,,
,109,9,21000,,,,,
,,,,,,,,
Vehicle,VIN,Brand,Model,Engine,Transmission,Color,Year,Price
,0,Chevrolet,Suburban,V8,Automatic,Red,2017,12345
,1,Chevrolet,Impala,V6,Automatic,Red,2018,12347
,2,Chevrolet,Impala,V6,Manual,Red,2018,12349
,3,Chevrolet,SIlverado,V8,Automatic,Red,2018,12351
,4,Buick,Enclave,V6,Automatic,Red,2019,12353
,5,Buick,Enclave,V6,Automatic,Red,2019,12355
,6,Buick,Lacrosse,I4,Automatic,Red,2018,12357
,7,Buick,Lacrosse,I4,Automatic,Red,2018,12359
,8,GMC,Canyon,I4,Automatic,Red,2018,12361
,9,GMC,Canyon,I4 Diesel,Automatic,Red,2019,12363
,10,GMC,Sierra,V8,Automatic,Red,2018,12365
,11,GMC,Arcadia,V6,Automatic,Red,2019,12367
,12,Cadillac,CTS,I4,Automatic,Red,2018,12369
,13,Cadillac,ATS,V6,Automatic,Red,2018,12371
,14,Cadillac,CTS-V,V8,Automatic,Red,2019,12373
,15,Cadillac,CT6,V6,Automatic,Red,2019,12375
,,,,,,,,
Owner,OwnerID,Name,Street_Number,Street_Name,City,State,Zip,
,0,Joe's Cars,9487,Green Hill Drive,Grovetown,GA ,30813,
,1,Bob's Cars,712,Sheffield St.,Paducah,KY ,42001,
,2,Joey's Garage,375,4th Circle,Orland Park,IL ,60462,
,3,Jonny Cherovlet,9612,E. Winchester St.,Chillicothe,OH ,45601,
,4,Cory D's Car Shop,338,Front Street,Saratoga Springs,NY ,12866,
,5,Louden's Cars,8817,Atlantic Dr.,Marietta,GA ,30008,
,6,Parker's Car Place,168,Delaware Lane,Chardon,OH ,44024,
,7,Reese's Cars,724,Cedar Swamp St.,Mchenry,IL,60050,
,8,Bobby Buick,795,Mayflower St.,Paramus,NJ ,07652,
,9,Gary GMC,736,North Ramblewood St.,Saint Johns,FL ,32259,
,10,Charlie's Cadillacs,1,Green Hill Drive,Grovetown,GA ,30813,
,11,Nithya Eleonora,2,Green Hill Drive,Grovetown,GA ,30813,
,12,Alaric Ophelia,3,Sheffield St.,Paducah,KY ,42001,
,13,Christy Vivian,4,4th Circle,Orland Park,IL ,60462,
,14,Odeserundiye Thi,5,E. Winchester St.,Chillicothe,OH ,45601,
,15,Joeri Lisa,6,Front Street,Saratoga Springs,NY ,12866,
,16,Kumiko Merit,7,Atlantic Dr.,Marietta,GA ,30008,
,17,Bazyli Koloman,8,Delaware Lane,Chardon,OH ,44024,
,18,Antonia Pradeep,9,Cedar Swamp St.,Mchenry,IL,60050,
,19,Antipatros Kevin,10,Mayflower St.,Paramus,NJ ,07652,
,20,Golda Stone,11,North Ramblewood St.,Saint Johns,FL ,32259,
,21,GM_MANUFACTURER,12,Green Hill Drive,Grovetown,GA ,30813,
,,,,,,,,
Dealer,OwnerID,,,,,,,
,0,,,,,,,
,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
,,,,,,,,
Dealer_Management_Program.Customer,OwnerID,Gender,Annual_Income,,,,,
,11,Male,88466,,,,,
,12,Male,90418,,,,,
,13,Female,97770,,,,,
,14,Male,87499,,,,,
,15,Female,118883,,,,,
,16,Female,107215,,,,,
,17,Male,64125,,,,,
,18,Female,70048,,,,,
,19,Male,87925,,,,,
,20,Female,65530,,,,,
,,,,,,,,
Manufacturer,OwnerID,,,,,,,
,21,,,,,,,
,,,,,,,,
Customer_Phone,OwnerID,Number,,,,,,
,11,8558124,,,,,,
,12,9103705,,,,,,
,12,8379195,,,,,,
,12,4188717,,,,,,
,13,4017656,,,,,,
,14,3214808,,,,,,
,15,7396455,,,,,,
,15,4557088,,,,,,
,15,2545031,,,,,,
,16,8698752,,,,,,
,17,9466947,,,,,,
,18,5675574,,,,,,
,19,1269494,,,,,,
,20,8356321,,,,,,
,,,,,,,,
Dealer_Brand,OwnerID,Brand,,,,,,
,0,Chevrolet,,,,,,
,1,Buick,,,,,,
,1,Chevrolet,,,,,,
,1,GMC,,,,,,
,2,Cadillac,,,,,,
,3,Chevrolet,,,,,,
,3,Cadillac,,,,,,
